mA,V (1),V (2),V (3),V (4)
0,-0.007,-0.006,0,0.065
0.1,,,,0.138
0.105,,,,0.147
0.11,,,,0.155
0.115,,,,0.164
0.12,,,,0.173
0.125,,,,0.182
0.13,,,,0.191
0.135,,,,0.2
0.14,,,,0.209
0.145,,,,0.217
0.15,,,,0.226
0.155,,,,0.235
0.16,,,,0.244
0.17,,,,0.262
0.18,,,,0.28
0.19,,,,0.299
0.2,,,0.026,0.331
0.221,,,0.029,0.356
0.23,,,0.031,0.374
0.241,,,0.033,0.394
0.25,,,0.035,0.412
0.27,,,0.039,0.452
0.288,,,0.043,0.489
0.312,,,0.048,0.54
0.327,,,0.052,0.576
0.341,,,0.055,0.613
0.377,,,0.067,0.731
0.394,,,0.077,0.829
0.408,,,0.094,0.998
0.419,,,0.124,1.294
0.436,,,0.239,2.44
0.443,,0.024,0.304,3.087
0.455,,0.038,0.435,4.392
0.468,,0.052,0.578,5.813
0.476,,0.06,0.665,6.69
0.486,,0.071,0.773,7.76
0.499,,0.085,0.912,9.15
0.514,,0.103,1.074,10.75
0.521,,0.11,1.156,11.57
0.537,,0.127,1.329,13.29
0.555,,0.147,1.525,13.85
0.569,,0.162,1.675,13.85
0.583,,0.177,1.828,13.85
0.596,,0.191,1.972,
0.612,,0.209,2.153,
0.622,,0.219,2.251,
0.637,,0.242,2.424,
0.648,,0.248,2.541,
0.66,,0.26,2.668,
0.674,,0.276,2.824,
0.693,0.024,0.298,3.035,
0.709,0.025,0.314,3.209,
0.722,0.027,0.331,3.35,
0.737,0.028,0.344,3.51,
0.749,0.03,0.357,3.641,
0.763,0.031,0.373,3.802,
0.774,0.032,0.441,3.92,
0.793,0.025,0.406,4.131,
0.809,0.036,0.433,4.299,
0.828,0.039,0.445,4.51,
0.844,0.04,0.498,4.691,
0.86,0.042,0.48,4.865,
0.876,0.044,0.497,5.041,
0.88,0.045,0.511,5.172,
0.901,0.047,0.524,5.314,
0.917,0.048,0.542,5.493,
0.925,0.049,0.551,5.579,
0.938,0.051,0.59,5.725,
0.952,0.052,0.581,5.879,
0.969,0.054,0.612,6.072,
0.991,0.056,0.624,6.31,
1.009,0.059,0.65,6.514,
1.092,0.068,0.752,7.42,
1.13,0.072,0.785,7.87,
1.148,0.074,0.798,8.05,
1.164,0.076,0.82,8.24,
1.19,0.078,0.844,8.51,
1.215,0.081,0.875,8.79,
1.227,0.084,0.897,9.05,
1.253,0.086,0.915,9.22,
1.277,0.88,0.942,9.48,
1.297,0.09,0.963,9.71,
1.329,0.094,0.999,10.07,
1.361,0.098,1.035,10.43,
1.409,0.103,1.089,10.95,
1.433,0.106,1.114,11.22,
1.462,0.109,1.146,11.54,
1.492,0.112,1.18,11.88,
1.527,0.116,1.23,12.27,
1.553,0.119,1.247,12.55,
1.584,0.122,1.281,12.89,
1.616,0.126,1.316,13.25,
1.641,0.129,1.343,13.52,
1.67,0.132,1.375,13.83,
1.713,0.136,1.422,13.85,
1.737,0.139,1.449,13.85,
1.763,0.142,1.476,,
1.789,0.145,1.505,,
1.825,0.149,1.545,,
1.849,0.151,1.57,,
1.864,0.153,1.588,,
1.894,0.156,1.62,,
1.912,0.158,1.639,,
1.938,0.161,1.938,,
1.966,0.164,1.698,,
1.986,0.166,1.72,,
1.991,0.167,1.725,,
2.03,0.17,1.762,,
2.06,0.174,1.796,,
2.09,0.179,1.832,,
2.13,0.182,1.873,,
2.15,0.184,1.898,,